Name,URL,Fact and Bias
Doubtful News,doubtfulnews.com,pro_science            
Downtrend,downtrend.com,questionable    fake  satire      
Draining the Swamp,drainingtheswamp.info,questionable            
drrichswier,drrichswier.com,    hate  bias      
Drudge Retort,drudgereport.com.co,left    fake        
Duffel Blog,duffleblog.com,satire    satire        
Duh Progressives,duhprogressive.com,satire    satire        
Dutch Daily News,dutchdailynews.com,left_center            
dutchsinse,dutchsinse.com,    conspiracy      weather control  
Eagle Rising,eaglerising.com,questionable    bias  clickbait      
Eagle Tribune,eagletribune.com,least_biased            
Earth Institute,earth.columbia.edu sections view 9,least_biased            
Earth First! Journal,earthfirstjournal.org,left            
Earth Magazine,earthmagazine.org,pro_science            
East Bay Times,eastbaytimes.com,left_center            
Bay Area Reporter,ebar.com,left            
ebolahoax,ebolahoax.com,    conspiracy      domain for sale  
economicnoise,economicnoise.com,"    political  unreliable    sites some problematic sources, like CNS news  "
The Economic Times,economictimes.indiatimes.com,left_center            
The Economist,economist.com,least_biased            
Economy in Crisis,economyincrisis.org,left            
EcoWatch,ecowatch.com,"pseudoscience    political      this site claims junksci, but I read over a dozen articles w o finding any. probably should re-check soon  mediabiasfactcheck.com ecowatch   "
Edmonton Journal,edmontonjournal.com,left_center            
Edmonton Sun,edmontonsun.com,right_center            
Educate-Yourself,educate-yourself.org,pseudoscience    conspiracy  junksci      
educateinspirechange  health,educateinspirechange.org health,    clickbait  junksci      
electionnightgatekeepers,electionnightgatekeepers.com,    conspiracy  unreliable      
Electronic Intifada,electronicintifada.net,left            
elelephantintheroom spot,elelephantintheroom.blogspot.com,    bias        
Elisabeth Parker,elisabethparker.com,left            
Elite Daily,elitedaily.com,left            
elitereaders,elitereaders.com,    clickbait        
elkoshary,elkoshary.com,    satire      About Me notes that it's not fake satirical news  
elmundotoday,elmundotoday.com,    satire      About Me notes that it's not fake satirical news  
El Pais,elpais.com elpais inenglish.html,left_center            
El Paso Times,elpasotimes.com,left_center            
Embols,embols.com,questionable    fake        
Emirates 24 7,emirates247.com,left_center            
Empire Herald,empireherald.com,"questionable  imposter site  fake  satire     Scottsdale, Ariz. ** "
Empire News,empirenews.net,"satire  parody site  fake       Chesterbrook, Pa ^ "
empiresports,empiresports.co,"  parody site  satire       Sellersburg, IN "
Empty Wheel,emptywheel.net,left_center    political      commentary on current events news  
En Volve,en-volve.com,"questionable  fake news  fake       Chesterbrook, Pa. ^ "
Bbarta24,en.bbarta24.net,least_biased            
MercoPress,en.mercopress.com,least_biased            
Metapedia,en.metapedia.org wiki Main_Page,questionable            
Vatican Radio,en.radiovaticana.va,questionable            
enabon,enabon.com,"    fake      No authors, no contact, just copy pasted from other questionable sites  "
Encyclopedia Dramatica,encyclopediadramatica.se Main_Page,satire            
Ending the Fed News,endingthefed.com,questionable    bias         
endoftheamericandream,endoftheamericandream.com,    Conspiracy  Fake  Political  Traffics in religious conspiracy theories and poorly sourced pro-Trump propaganda  
endtime,endtime.com,"    bias  clickbait  Political  Not sure about this one. zany religious prophecy not really conspiracy | I would classify this as ""religious clickbait,"" with all of its reporting coming through a fundamentalist Christian filter-- thus the ""extreme bias.""  "
End Time Headlines,endtimeheadlines.org,pseudoscience            
Enduring Vision,enduringvision.com,satire    fake        
Al Majalla,eng.majalla.com,least_biased            
Engadget,engadget.com,left_center            
Asharq Al-Awsat,english.aawsat.com,least_biased            
Ahram Online,english.ahram.org.eg,least_biased            
Al Arabiya,english.alarabiya.net,least_biased            
enhlive,enhlive.com,"  fake news  fake       Brea, Calif. !! "
Esquire Magazine,esquire.com,left            
EU Observer,euobserver.com,left_center            
Euractiv,euractiv.com,left_center            
Eurasia Group,eurasiagroup.net,least_biased            
Euronews,euronews.com,least_biased            
eutimes,eutimes.net,    hate  conspiracy      
The European Union Times,eutimes.net,pseudoscience            
eutopia.buzz,eutopia.buzz,    fake  satire  conspiracy    
Evening Harold,eveningharold.com,satire            
Every CRS Report,everycrsreport.com,least_biased            
Everyday Feminism,everydayfeminism.com,left            
Every News Here,everynewshere.com,pseudoscience            
Evolution News and Views,evolutionnews.org,pseudoscience            
Evonomics,evonomics.com,left            
ewao,ewao.com,    junksci        
Environmental Working Group (EWG),ewg.org,pseudoscience            
experimentalvaccines,experimentalvaccines.org,    junksci  conspiracy      
expose1933,expose1933.com,"    conspiracy  hate    references to ""white genocide"" and ""race mixing""  "
Daily Express,express.co.uk,right            
express,express.co.uk,    rumor      well-known tabloid  
extraclubmagazine,extraclubmagazine.com,    bias  clickbait  fake  vacillates between outright fake and misleading stories  
eyeopening,eyeopening.info,    conspiracy  junksci      
SciCheck,factcheck.org scicheck,pro_science            
FactsCan,factscan.ca,least_biased            
Fairness & Accuracy in Reporting (FAIR),fair.org,left_center            
The Federation for American Immigration Reform,fairus.org,questionable            
FairVote,fairvote.org,left_center            
The Fake News Codex,fakenewscodex.com,least_biased            
fakingnews,fakingnews.com,    fake  satire    fiction disclaimer on bottom of home screen   
Family Security Matters,familysecuritymatters.org,right    conspiracy  bias      
Family Survival Headlines,familysurvivalheadlines.com,pseudoscience            
farmwars,farmwars.info,"    fake news  conspiracy    Much of the site is focused on anti-GMO conspiracies, with political conspiracies coming in as a close second. There are some apparent attempts to source some wild claims, but the use of unstable URLs-- intentionally or otherwise-- thwarts this.  "
Federation of American Scientists (FAS),fas.org,pro_science            
Federalist Press,federalistpress.com,right    bias        
Federalist Tribune,federalisttribune.com,"questionable  fake news         Brea, Calif. !! "
fedsalert,fedsalert.com,"  fake news  fake       Scottsdale, Ariz. ** "
Foundation for Economic Education,fee.org,right_center            
fellowshipoftheminds,fellowshipoftheminds.com,    conspiracy  junksci      
Feminist Frequency,feministfrequency.com,left_center            
Fifth Estate,fifthestate.org,left            
Filming Cops,filmingcops.com,left            
filmsforaction,filmsforaction.org,    political        
Financial Express,financialexpress.com,least_biased            
Financial Post,financialpost.com,right_center            
financialsurvivalnetwork,financialsurvivalnetwork.com,    unreliable  bias      
firearmscoalition,firearmscoalition.org,"    bias  blog    A single-issue blog, it hasn't been updated since August 2016. It talks about guns, has lots of dead links, and has trouble distinguishing between legitimate and illegitimate sources.  "
firstpost,firstpost.com,"  some fake stories         Mumbai, India "
FiveThirtyEight,fivethirtyeight.com,left_center            
flashnewscorner,flashnewscorner.com,"  fake news  fake       Panama, Pa.* "
floridasunpost,floridasunpost.com,"  parody site  fake  satirical    I concur:  mashable.com 2016 10 03 fake-news-story-man-marries-granddaughter #QvpAzP.e8Oqb  Toronto, Canada !!! "
FM Observer,fmobserver.com,satire    satire        
focusnews,focusnews.info,"  fake news         Scottsdale, Ariz. ** "
Focus on the Family,focusonthefamily.com,questionable            
fognews.ru,fognews.ru,    satire      site contains satire disclaimer  
Food Babe,foodbabe.com,pseudoscience    junksci        
Forbes,forbes.com,right_center            
Foreign Affairs,foreignaffairs.com,least_biased            
Foreign Policy,foreignpolicy.com,least_biased            
Foreign Policy Initiative,foreignpolicyi.org,right_center            
foreignpolicyjournal,foreignpolicyjournal.com,    political      legit source coming from a political perspective  
Fortune Magazine,fortune.com,right_center            
The Forward,forward.com,left_center            
Forward Progressives,forwardprogressives.com,left            
fourwinds10,fourwinds10.net,    conspiracy  junksci      
fox-news24,fox-news24.com,"  imposter site         Scottsdale, Ariz. ** "
Fox News,foxnews.com,right            
Foreign Policy Research Institute,fpri.org,right_center            
fprnradio,fprnradio.com,    conspiracy  fake      
France24,france24.com en,left_center            
Franklin Center for Government and Public Integrity,franklincenterhq.org,right_center            
Family Research Council,frc.org,questionable            
Freakonomics,freakonomics.com,left_center            
Freakout Nation,freakoutnation.com,questionable    bias        
freebeacon,freebeacon.com,    bias        
Washington Free Beacon,freebeacon.com,right            
freedomcrossroads ,freedomcrossroads.us,"  fake news         North Waterboro, Me. "
Freedom Daily,freedomdaily.com,"questionable  fake news  fake       Scottsdale, Ariz. ** "
freedomforceinternational,freedomforceinternational.com,    conspiracy      global warming denial  
Freedom House,freedomhouse.org,right_center            
Freedom Liberty News,freedomlibertynews.com,questionable            
Freedom Outpost,freedomoutpost.com,questionable    conspiracy  bias       
Freedom’s Final Stand,freedomsfinalstand.com,"questionable  fake news         Scottsdale, Ariz. ** "
freedomsphoenix,freedomsphoenix.com,    bias  conspiracy      
Freedom Works,freedomworks.org,right    political        
freedomworldnews,freedomworldnews.com,    bias  unreliable      
International Press Institute,freemedia.at,least_biased            
Detroit Free Press,freep.com,left_center            
Free Press,freepress.net,left_center            
Free West Media,freewestmedia.com,least_biased            
Free Wood Post,freewoodpost.com,"satire  parody site  satire       Scottsdale, Ariz. ** "
freshdailyreport,freshdailyreport.com,"  fake news  fake       Veles, Macedonia "
Fresno Bee,fresnobee.com,left_center            
fridaymash,fridaymash.com,    satire        
Friends of Science,friendsofscience.org,pseudoscience            
From the Trenches World Report,fromthetrenchesworldreport.com,pseudoscience    conspiracy  junksci  bias    
Move On,front.moveon.org,left            
frontpagemag,frontpagemag.com,    bias  hate    Part of David Horowitz' Freedom Center  
Frontpage Magazine,frontpagemag.com,questionable            
Financial Times,ft.com,least_biased            
Full Fact (UK),fullfact.org,least_biased            
Fury News,fury.news,questionable            
Fusion,fusion.net,left_center    political  reliable    website contains some satire   
Future in America,futureinamerica.com news,right            
Government Accountability Institute,g-a-i.org,right            
gaia,gaia.com,    conspiracy  junksci      
galacticconnection,galacticconnection.com,    junksci        
Gallup,gallup.com home.aspx,least_biased            
gangstergovernment,gangstergovernment.com,    conspiracy  bias      
gatesofvienna,gatesofvienna.net,    hate  conspiracy      
Gatestone Institute,gatestoneinstitute.org,right            
Gawken,gawken.com,satire            
Colorado Springs Gazette,gazette.com,right_center            
GeoEngineering Watch,geoengineeringwatch.org,pseudoscience    junksci  conspiracy      
Geology In,geologyin.com,pro_science            
Covert Geopolitics,geopolitics.co,pseudoscience            
geopolmonitor,geopolmonitor.com,    political      this website is tricky (in terms of writers using some interesting frames language). def could use a second analysis.  
givemeliberty01,givemeliberty01.com,"  fake news  fake       Scottsdale, Ariz. ** "
Gizmodo,gizmodo.com,left            
Glamour Magazine,glamour.com,left_center            
glaringhypocrisy,glaringhypocrisy.com,"    hate  conspiracy    references to ""Jew World Order""  "
Global Info Today,globalinfotoday.com,questionable            
Global Integrity,globalintegrity.org,least_biased            
Global News,globalnews.ca,left_center            
globalpoliticsnow,globalpoliticsnow.com,"  fake news  fake       Kumanovo, Macedonia "
Global Research,globalresearch.ca,pseudoscience    conspiracy        
Global Skywatch,globalskywatch.com,pseudoscience            
Global Times,globaltimes.cn,left_center            
glossynews,glossynews.com,    satire        
Godlike Productions,godlikeproductions.com,pseudoscience    conspiracy        
Gomer Blog,gomerblog.com,satire    satire      site contains satire disclaimer   
Gone Left,goneleft.com,questionable    fake        
Good Magazine,good.is,left            
GoodGopher,goodgopher.com,questionable            
GoodNewsNetwork,goodnewsnetwork.org,least_biased            
GOP ,gop.com,right            
gopthedailydose,gopthedailydose.com,    fake  conspiracy  bias    
Governing Magazine,governing.com,left_center            
Government Executive,govexec.com,least_biased            
GovTrack,govtrack.us,least_biased            
Government Slaves,govtslaves.info,pseudoscience            
govtslaves,govtslaves.info,    conspiracy        
GQ Magazine,gq.com,left            
greanvillepost,greanvillepost.com,    conspiracy         
greenmedinfo,greenmedinfo.com,    junksci        
Greenpeace,greenpeace.org usa,pseudoscience            
Greensboro News and Record,greensboro.com,left_center            
Greenville Gazette,greenvillegazette.com,left            
Grist,grist.org,left_center            
Group of Thirty,group30.org,right_center            
Guardian Liberty Voice,guardianlv.com,left            
guardianlv,guardianlv.com,    political        
guccifer2 ,guccifer2.wordpress.com,    unreliable        
Gulag Bound,gulagbound.com,pseudoscience    bias         
Gulf News,gulfnews.com,right_center            
gummypost,gummypost.com,"  fake news  fake       Scottsdale, Ariz. ** "
Alan Guttmacher Institute,guttmacher.org,left_center            
Haaretz,haaretz.com,left_center            
Hang the Bankers,hangthebankers.com,questionable    conspiracy         
Hard Dawn,harddawn.com,satire            
Harpers,harpers.org,left_center            
Harvard Political Review,harvardpolitics.com,least_biased            
Headline News Network,headlinennews.com,satire            
Health Eternally,healtheternally.com,pseudoscience            
Health Impact News,healthimpactnews.com,pseudoscience    junksci  bias      
Health Nut News,healthnutnews.com,pseudoscience    junksci        
healthy-holistic-living,healthy-holistic-living.com,    junksci  clickbait      
healthycareandbeauty,healthycareandbeauty.com,"  some fake stories  fake  unreliable     Berlin, Germany "
healthyworldhouse,healthyworldhouse.com,"  fake news  fake       Kumanovo, Macedonia "
Heartland Institute,heartland.org,right            
heatst,heatst.com,    clickbait  bias      
Heat Street,heatst.com,right            
Helsinki Times,helsinkitimes.fi,left_center            
Journal of Politics and Society,helvidius.org,left_center            
henrymakow,henrymakow.com,    conspiracy         
heresyblog,heresyblog.net,    bias  conspiracy  rumor    
heritage,heritage.org,    political        
Heritage Foundation,heritage.org,right            
Hillary Beat Trump,hillarybeattrump.org,satire            
History News Network,historynewsnetwork.org,left_center            
Hoax Slayer,hoax-slayer.com,least_biased            
Hollywood Reporter,hollywoodreporter.com,left_center            
holyobserver,holyobserver.com,    satire        
National Rifle Association (NRA),home.nra.org,right            
Honest Reporting,honestreporting.com,right_center            
Hoover Institution,hoover.org,right_center            
Policy Review,hoover.org publications policy-review,right            
David Horowitz Freedom Center,horowitzfreedomcenter.org,questionable    bias        
Hot Air,hotair.com,right            
houstonchronicle-tv,houstonchronicle-tv.com,"  imposter site         Scottsdale, Ariz. ** "
Houston Chronicle,houstonchronicle.com,left_center            
HowStuffWorks,howstuffworks.com,pro_science            
High Point Enterprise,hpenews.com,right_center            
Human Rights Watch,hrw.org,left_center            
Health Sciences Institute,hsionline.com,pseudoscience            
Alternative Media Syndicate,alternativemediasyndicate.com,questionable    fake        
Conservative HQ,conservativehq.com,right    bias        
loanpride, loanpride.com obama-family-divorce-attorney-quit-smoking-tips ?utm_source=revcontent&utm_medium=56198&utm_term=conservative%20news&utm_content=1770992&utm_campaign=234718&utm_widget_id=56198,    rumor  clickbait      
offgridsurvival, offgridsurvival.com shadowgovernmentwars ,    conspiracy  bias      
Center for Security Policy,  bbc.com news world-us-canada-35037943 ; ,pseudoscience    bias  conspiracy      
Knowledge of Today,  knowledgeoftoday.org 2012 02 illuminati-secret-hidden-from-masses.html,pseudoscience    conspiracy        
News Biscuit,  newsbiscuit.com about disclaimer  ,satire    satire        
News Corpse,  newscorpse.com ncWP ?p=34163,left    political          
Resistance Report,  politifact.com personalities resistance-report ,questionable    political  unreliable      
Democratic Underground,  politifact.com punditfact article 2017 apr 20 politifacts-guide-fake-news-websites-and-what-they ,left    fake        
empirehearland,  politifact.com punditfact article 2017 apr 20 politifacts-guide-fake-news-websites-and-what-they ,    fake        
newsmagazine,  politifact.com punditfact article 2017 apr 20 politifacts-guide-fake-news-websites-and-what-they ,    fake        
washingtonfed,  politifact.com punditfact article 2017 apr 20 politifacts-guide-fake-news-websites-and-what-they ,    fake        
heartland,  sourcewatch.org index.php Heartland_Institute,    bias        
themideastbeast,  themideastbeast.com about ,    satire        
immediatesafety, immediatesafety.org dnc-to-hand-debbie-wasserman-schultz-over-to-isis-for-beheadding ,    fake        
PJ Media," mediabiasfactcheck.com pj-media  ;   pjmedia.com about-us (ground zero mosque, 'doctored climate change data')",right    political  bias      
Progressives Today, mediabiasfactcheck.com progressives-today ,questionable    bias        
patriotpost , mediabiasfactcheck.com the-patriot-post  ;  patriotpost.us posts 48002 ;  patriotpost.us alexander 48000,    bias         
wtoe5news, web.archive.org web 20161115024211  wtoe5news.com us-election pope-francis-shocks-world-endorses-donald-trump-for-president-releases-statement ,    fake  satire      
WikiLeaks,  nytimes.com 2017 03 09 opinion the-truth-about-the-wikileaks-cia-cache.html?_r=0,right_center    unreliable          
oathkeepers,  splcenter.org fighting-hate extremist-files group oath-keepers,    bias        
actforamerica  news,  splcenter.org fighting-hate extremist-files groups,    hate        
adflegal  media,  splcenter.org fighting-hate extremist-files groups,    hate        
americanborderpatrol,  splcenter.org fighting-hate extremist-files groups,    hate        
amren,  splcenter.org fighting-hate extremist-files groups,    hate        
aryannationswordwide1488,  splcenter.org fighting-hate extremist-files groups,    hate        
barnesreview,  splcenter.org fighting-hate extremist-files groups,    hate        
centerforsecuritypolicy  #articles,  splcenter.org fighting-hate extremist-files groups,    hate        
creativitymovement  category news ,  splcenter.org fighting-hate extremist-files groups,    hate        
ihr,  splcenter.org fighting-hate extremist-files groups,    hate        
nationalvanguard,  splcenter.org fighting-hate extremist-files groups,    hate        
Hudson Institute,hudson.org,right            
Human Events,humanevents.com,right            
Human Progress,humanprogress.org,right_center            
Humans Are Free,humansarefree.com,pseudoscience    conspiracy        
humortimes,humortimes.com,    satire        
Hurriyet Daily News,hurriyetdailynews.com,left_center            
Huzlers,huzlers.com,satire    satire        
I24 News,i24news.tv,least_biased            
International Business Times,ibtimes.com,least_biased            
Ice News,icenews.is,left_center            
International Consortium of Investigative Journalists,icij.org,least_biased            
icr,icr.org,    junksci        
International Center for Research on Women,icrw.org,left_center            
International Energy Agency,iea.org,least_biased            
If America Knew,ifamericaknew.org,left_center            
IFL Science,iflscience.com,pro_science            
If You Only News,ifyouonlynews.com,questionable    unreliable  satire      
I have the Truth,ihavethetruth.com,questionable    bias  clickbait  fake    
ijr,ijr.com,    political  bias  unreliable    
Independent Journal Review,ijr.com,right            
Illuminati News,illuminati-news.com,pseudoscience    conspiracy        
Illuminati Watcher,illuminatiwatcher.com,pseudoscience            
I Love My Freedom,ilovemyfreedom.org,questionable    bias  clickbait      
ilovenativeamericans ,ilovenativeamericans.us,"  some fake stories         Kosovo, Serbia "
in5d,in5d.com,    junksci        
The Independent,independent.co.uk us,left_center            
Irish Independent,independent.ie,right_center            
The Independent Review,independent.org,right_center            
Independent Living News,independentlivingnews.com,pseudoscience            
Independent Sentinel,independentsentinel.com,right            
Independent Voter Network (IVN),independentvoternetwork(ivn).com,least_biased            
indiaarising,indiaarising.com,    clickbait  unreliable      
The Indian Express,indianexpress.com,least_biased            
Independent Media Center,indymedia.org or index.shtml,left_center            
Indianapolis Star,indystar.com,left_center            
Infinite Unknown,infiniteunknown.net,"pseudoscience    conspiracy      ""9 11 was an inside job""  "
informationclearinghouse,informationclearinghouse.info,    conspiracy  unreliable      
Informed Owners,informedowners.com,questionable            
informetoday,informetoday.com,    bias  unreliable      
infostormer,infostormer.com,    fake  hate  conspiracy    
Infowars,infowars.com,pseudoscience    conspiracy        
Philippine Daily Inquirer,inquirer.net,left_center            
Inquisitr,inquisitr.com news,left_center            
Inside Higher Ed,insidehighered.com,left_center            
instaworldnews,instaworldnews.com,    bias        
Intellihub,intellihub.com,pseudoscience    conspiracy  unreliable      
interestingdailynews,interestingdailynews.com,"  fake news  fake       Orem, Utah~ "
The Interpreter (Magazine),interpretermag.com,left_center            
In These Times,inthesetimes.com,left            
intrendtoday,intrendtoday.com,    fake  clickbait      
intrepidreport,intrepidreport.com,    bias        
investmentresearchdynamics,investmentresearchdynamics.com,    conspiracy        
Investement Watch Blog,investmentwatchblog.com,pseudoscience    bias  fake      
Investors Business Daily,investors.com,right_center            
iPolitics,ipolitics.ca,left_center            
Investigative Reporters and Editors,ire.org,least_biased            
International Renewable Energy Agency (IRENA),irena.org,pro_science            
The Irish Times,irishtimes.com,left_center            
ironictimes,ironictimes.com,    satire        
The Irrawaddy,irrawaddy.com,left_center            
islamicanews,islamicanews.com,    satire        
Israel Hayom,israelhayom.com site today.php,right_center            
Israel Video Network,israelvideonetwork.com,questionable            
isthatlegit,isthatlegit.com,"  fake news         Toronto, Canada !!! "
itaglive,itaglive.com,    fake        
itccs,itccs.org,    conspiracy        
itmakessenseblog,itmakessenseblog.com,    fake        
ITV News,itv.com news,right_center            
iwanttoexplore,iwanttoexplore.com,    fake      mostly turned back into car website  
jackpineradicals,jackpineradicals.com,    political      left wing discussion site  
Florida Times Union,jacksonville.com,right_center            
Jacobin,jacobinmag.com,left            
jacobinmag,jacobinmag.com,    political        
jamesrgrangerjr,jamesrgrangerjr.com,    bias        
The Jamestown Foundation,jamestown.org,right_center            
Japan Today,japantoday.com,right_center            
JeffereyJaxen ,jeffereyjaxen.com news,pseudoscience            
jesus-is-savior,jesus-is-savior.com,    conspiracy        
The Jewish Press,jewishpress.com,right_center            
Jewish World Review,jewishworldreview.com,right            
Jews News,jewsnews.co.il,pseudoscience            
jewsnews .il,jewsnews.co.il,"  some fake stories  unreliable  bias  fake   Shiloh, Israel "
Jew Watch,jewwatch.com,questionable            
Jezebel,jezebel.com,left            
Jihad Watch,jihadwatch.org,questionable    conspiracy  hate      
johnnyrobish,johnnyrobish.com,    satire        
Joint Center for Political and Economic Studies,jointcenter.org,left_center            
Jones Report,jonesreport.com,pseudoscience    conspiracy        
Jookos News,jookos.com,questionable            
journal-neo,journal-neo.org,    bias        
Frontiers in Psychology,journal.frontiersin.org journal psychology,pro_science            
Winston-Salem Journal,journalnow.com,right_center            
International Organization,journals.cambridge.org action displayIssue?jid=INO&amp;tab=currentissue,least_biased            
The Jerusalem Post,jpost.com,least_biased            
The Jerusalem Report,jpost.com Jerusalem-Report,left_center            
Milwaukee Journal-Sentinel,jsonline.com,left_center            
JStor,jstor.org,pro_science            
Judicial Crisis Network,judicialnetwork.com,right            
Judicial Watch,judicialwatch.org,right    political        
Just Facts,justfacts.com,right_center            
Just Facts Daily,justfactsdaily.com,right_center            
Wichita Eagle,kansas.com,right_center            
Kansas City Star,kansascity.com,left_center            
katehon,katehon.com,    bias        
Lexington Herald Leader,kentucky.com,left_center            
Kaiser Family Foundation,kff.org,least_biased            
kmt11,kmt11.com,"  imposter site  fake       Scottsdale, Ariz. ** "
Knight Foundation,knightfoundation.org,left_center            
Knox Report,knoxreport.com,right            
konkonsagh,konkonsagh.biz,"  fake news  fake       Ashanti, Ghana "
krbcnews,krbcnews.com,    fake        
KUOW NPR,kuow.org,left_center            
ky12news,ky12news.com,"  imposter site  fake       Scottsdale, Ariz. ** "
Lady Liberty News,ladylibertysnews.com,"questionable  fake news  fake       Kirkland, Wash.*** "
landoverbaptist,landoverbaptist.org,    satire        
Lark News,larknews.com,satire            
LaRouche PAC,larouchepac.com,pseudoscience            
lastdeplorables,lastdeplorables.com,"  fake news  fake       Scottsdale, Ariz. ** "
LA Times (Los Angeles Times),latimes.com,left_center            
ACN Latitudes,latitudes.org,pseudoscience            
Lavender Magazine,lavendermagazine.com,left            
Lawfare Blog,lawfareblog.com,left_center            
Law Newz,lawnewz.com,left_center            
Learn Liberty,learnliberty.org,right_center            
Learn Progress,learnprogress.org,"questionable  some fake stories  fake  bias     Scottsdale, Ariz. ** "
Left Action,leftaction.com,left            
Left Foot Forward,leftfootforward.org,left            
Left Justified,leftjustified.com,left_center            
Left Over Rights,leftoverrights.com,left            
LeftScoop,leftscoop.com,left            
Left Side of History,leftsideofhistory.com,left            
Legal Insurrection,legalinsurrection.com,right            
Citizens for Legitimate Government,legitgov.org,left_center            
Lethbridge Herald,lethbridgeherald.com,left_center            
Lew Rockwell,lewrockwell.com,questionable    bias  unreliable  political    
Lexington Institute,lexingtoninstitute.org,right_center            
London Free Press,lfpress.com,right_center            
LGBTQ Nation,lgbtqnation.com,left            
Liberal America,liberalamerica.org,left    clickbait  bias      
liberalbias,liberalbias.com,    satire        
Liberal Darkness,liberaldarkness.com,satire    satire  fake      
Liberal Plug,liberalplug.com,"questionable  fake news  fake       Scottsdale, Ariz. ** "
Liberal Society,liberalsociety.com,questionable            
Liberty Courier,liberty-courier.com,"questionable  fake news         Orem, Utah~ "
Liberty Alliance,libertyalliance.com,"right  fake news  fake       Dallas, Ga.  "
libertyblitzkrieg,libertyblitzkrieg.com,    fake        
Liberty Brief,libertybrief.com,questionable            
libertyfederation,libertyfederation.com,    hate        
Liberty Hangout,libertyhangout.org,right            
libertymovementradio,libertymovementradio.com,    conspiracy        
Liberty News,libertynews.com,right    unreliable  bias      
LibertyTalk.FM,libertytalk.fm,right    conspiracy        
Liberty Unyielding,libertyunyielding.com,right    bias        
Liberty Videos,libertyvideos.org,pseudoscience    conspiracy        
Liberty Viral,libertyviral.com,right_center            
Liberty Writers News,libertywritersnews.com,questionable    clickbait  bias  unreliable    
lifeandabout,lifeandabout.com,    bias        
Life News,lifenews.com,right    bias  clickbait      
lifeprevention,lifeprevention.com,    junksci        
Life Site News,lifesitenews.com,right    clickbait  bias      
LifeZette,lifezette.com,right    clickbait        
ListVerse,listverse.com,least_biased            
Little Green Footballs.,littlegreenfootballs.com,left            
Live Action,liveaction.org,pseudoscience            
Liberation News,liveactionnews.org,left    bias        
Liveleak,liveleak.com,left_center            
Live Science,livescience.com,pro_science            
livevote,livevote.com,    clickbait        
Living Resistance,livingresistance.com,pseudoscience            
Living Whole,livingwhole.org,pseudoscience            
local31news,local31news.com,"  imposter site  fake       Scottsdale, Ariz. ** "
The Journal News,lohud.com,left_center            
LoonWatch,loonwatch.com,questionable            
Louder with Crowder,louderwithcrowder.com,right            
lovethispic,lovethispic.com,    clickbait  junksci      
Lozier Institute,lozierinstitute.org,pseudoscience            
lushforlife,lushforlife.com,    satire        
Mackinac Center for Public Policy,mackinac.org,right_center            
mad-yet spot,mad-yet.blogspot.com,"    unreliable      links to real news stories, but also some questionable decontextualized images  "
madpatriots,madpatriots.com,    unreliable  clickbait      
Mad World News,madworldnews.com,"questionable  fake news  unreliable  clickbait     Scottsdale, Ariz. ** "
magafeed,magafeed.com,"    rumor  bias  fake  ""god emperor"" category for trump  "
maganews,maganews.co,    fake        
majorthoughts,majorthoughts.com,"  fake news  fake       Sunrise, Fla.  "
makeamericagreattoday,makeamericagreattoday.com,    bias  fake      
Manhattan Institute for Policy Research,manhattan-institute.org,right_center            
Maplight,maplight.org,least_biased            
MarketWatch,marketwatch.com,least_biased            
Mashable,mashable.com,left            
Mayo Clinic,mayoclinic.org,pro_science            
McClatchyDC,mcclatchydc.com,least_biased            
Mean Left Hook,meanlefthook.com,left    bias  clickbait      
Media Fact Watch,mediafactwatch.com,pseudoscience            
Mediaite,mediaite.com,left            
mediamass,mediamass.net,    fake        
Media Matters,mediamatters.org,left            
Media Zone,mediazone.news,questionable            
mediazone ,mediazone.news,    rumor  unreliable      
MedicalXPress,medicalxpress.com,pro_science            
Medium,medium.com,left_center            
megafreshnews,megafreshnews.com,    rumor        
megynkelly ,megynkelly.us,    fake        
Mental Floss,mentalfloss.com,least_biased            
mentor2day,mentor2day.com,"  some fake stories  fake       Scottsdale, Ariz. ** "
Mercola,mercola.com,pseudoscience            
San Jose Mercury News,mercurynews.com,left_center            
Merry Jane,merryjane.com,left            
Metabunk,metabunk.org,least_biased            
Metro UK,metro.co.uk,left_center            
Metro,metro.us,left_center            
metropolitanworlds,metropolitanworlds.com,"  fake news  fake       Accra, Ghana "
Mexico Daily News,mexiconewsdaily.com,left_center            
Miami Herald,miamiherald.com,left_center            
Miami New Times,miaminewtimes.com,left            
Mic,mic.com,left_center            
Middle East Monitor,middleeastmonitor.com,left            
Military Times,militarytimes.com,right_center            
militianews,militianews.com,    conspiracy  bias  hate    
Mint Press News,mintpressnews.com,left_center    political      legit source form a political perspective  
Daily Mirror,mirror.co.uk,left            
Mises Daily,mises.org,right_center            
mississippiherald,mississippiherald.com,"  imposter site         Toronto, Canada !!! "
Grand Rapids Press,mlive.com grand-rapids # 0,right_center            
Modern Alternative Mama,modernalternativemama.com,pseudoscience            
Modern Liberals,modernliberals.com,left            
Molon Labe Media,molonlabemedia.com,questionable    bias  conspiracy      
Mondoweiss,mondoweiss.net,left            
Monthly Review,monthlyreview.org,left_center            
Montreal Gazette,montrealgazette.com,left_center            
moonofalabama,moonofalabama.org,    bias        
Morning Consult,morningconsult.com,left_center            
Morning Ledger,morningledger.com,pseudoscience    unreliable  conspiracy      
