Business Insider,businessinsider.com,left_center,,,,,,
Bust Magazine,bust.com,left,,,,,,
Bustle Magazine,bustle.com,left_center,,,,,,
Buzzfeed,buzzfeed.com news,left_center,,,,,,
buzzfeedusa,buzzfeedusa.com,,fake news,fake,rumor,,,"Scottsdale, Ariz. **"
bvanews,bvanews.com,,,unreliable,bias,fake,seems like a combination of totally fake and unreliable reports of 'real' news,
C-SPAN,c-span.org,least_biased,,,,,,
Center for a Stateless Society,c4ss.org,right_center,,,,,,
Calgary Herald,calgaryherald.com,left_center,,,,,,
Calgary Sun,calgarysun.com,right_center,,,,,,
Call the Cops,callthecops.net,satire,,satire,,,,
Campaign Life Coalition,campaignlifecoalition.com,right,,,,,,
Canada Free Press,canadafreepress.com,right,,conspiracy,bias, ,,
Canadian Dimension,canadiandimension.com,left,,,,,,
cannasos,cannasos.com,,some fake stories,fake,unreliable,,,"Scottsdale, Ariz. **"
Cap News,cap-news.com,satire,,fake, ,,,
California Political Review,capoliticalreview.com,right_center,,,,,,
Carbonated TV,carbonated.tv,left,,,,,,
Carnegie Endowment for International Peace,carnegieendowmentforinternationalpeace.com,least_biased,,,,,,
Carolina Public Press,carolinapublicpress.org,left_center,,,,,,
Castanet,castanet.net,least_biased,,,,,,
Cato Institute,cato.org,right_center,,,,,,
cato  blog,cato.org blog,,,political,reliable,,,
Regulation Magazine,cato.org regulation,right_center,,,,,,
CBC News,cbc.ca news,left_center,,,,,,
Congressional Budget Office (CBO),cbo.gov,least_biased,,,,,,
CBS News,cbsnews.com.co,left_center,,fake,,,,
CCTV America,cctv-america.com,left_center,,,,,,
Committee for Economic Development,ced.org,least_biased,,,,,,
Competitive Enterprise Institute,cei.org,right_center,,,,,,
CelebTriCity,celebtricity.com,satire,,satire,,,,
Censored ,censored.news,questionable,,,,,,
Center for Advanced Defense Studies,centerforadvanceddefensestudies.com,least_biased,,,,,,
Center for a New American Security,centerforanewamericansecurity.com,least_biased,,,,,,
Center for Global Development,centerforglobaldevelopment.com,least_biased,,,,,,
Center for Inquiry,centerforinquiry.net,least_biased,,,,,,
Center for the National Interest,centerforthenationalinterest.com,right_center,,,,,,
Council on Foreign Relations,cfr.org,right_center,,,,,,
Change ,change.org,left,,,,,,
channel-7-news,channel-7-news.com,,,fake,,,,
channel18news,channel18news.com,,imposter site,fake,,,,"Scottsdale, Ariz. **"
Charisma News,charismanews.com,pseudoscience,,bias,,,"minimal factual reporting despite being ""news'",
Charlotte Observer,charlotteobserver.com,left_center,,,,,,
chaser,chaser.com.au,,,satire,,,,
checkoutthehealthyworld,checkoutthehealthyworld.com,,,junksci,clickbait,,,
Chicago Sun Times,chicago.suntimes.com,left_center,,,,,,
Chicago Reader,chicagoreader.com,left,,,,,,
Chicago Tribune,chicagotribune.com,left_center,,,,,,
Chicks on the Right,chicksontheright.com,right,,clickbait,bias,,,
China Daily,chinadaily.com.cn,least_biased,,,,,,
christianfightback,christianfightback.com,,,hate,bias,,,
Christianity Today,christianitytoday.com,right_center,,,,,,
Christian Post,christianpost.com,right,,reliable,political,,,
Christian Times Newspaper,christiantimesnewspaper.com,pseudoscience,imposter site,rumor,bias,fake,,"Scottsdale, Ariz. **"
christiantoday,christiantoday.info,,fake news,,,,,"Scottsdale, Ariz. **"
Christwire,christwire.org,satire,,satire,,, ,
The Chronicle of Higher Education,chronicle.com,least_biased,,,,,,
chronicle,chronicle.su,,,satire, ,,,
Internet Chronicle,chronicle.su,satire,,,,,,
chroniclesmagazine,chroniclesmagazine.org,,,political,,,"from what I gather, like the opposite of Jacobin (paleoconservative) ",
Chronicles of Democracy,chroniclesofdemocracy.com,left,,,,,,
Cincinnati Enquirer,cincinnati.com,right_center,,,,,,
Center for International Policy,ciponline.org,left_center,,,,,,
Circa News,circa.com,least_biased,,,,,,
Center for Immigration Studies (CIS),cis.org,questionable,,,,,,
Asheville Citizen-Times,citizen-times.com,left_center,,,,,,
Citizens United,citizensunited.org,right,,bias,,,loaded language etc.,
City Journal,city-journal.org,right,,political,,,,
City and State New York,cityandstateny.com,least_biased,,,,,,
CityWorldNews,cityworldnews.com,questionable,,fake,,,,
Civic Tribune,civictribune.com,satire,imposter site,fake,,,,"Scottsdale, Ariz. **"
Clarion Project,clarionproject.org,questionable,,,,,,
Clash Daily,clashdaily.com,questionable,fake news,fake,conspiracy,bias,,"Scottsdale, Ariz. **"
Clean Technica,cleantechnica.com,left_center,,,,,,
The Plain Dealer,cleveland.com plaindealer,left_center,,,,,,
Clickhole,clickhole.com,satire,,satire,,,,
Climate Action Tracker,climateactiontracker.org,pro_science,,,,,,
Climate Central,climatecentral.org,pro_science,,,,,,
Climate Depot,climatedepot.com,pseudoscience,,,,,,
Climate Feedback,climatefeedback.org,pro_science,,,,,,
The Climate Reality Project,climaterealityproject.org,left,,,,,,
CNBC,cnbc.com,left_center,,,,,,
CNET,cnet.com,pro_science,,,,,,
CNN,cnn.com,left_center,,,,,,
Cnn .de,cnn.com.de,questionable,,,,,,
cnnews3,cnnews3.com,,imposter site,fake,,,,"Scottsdale, Ariz. **"
cnnnext,cnnnext.com,,,unreliable,,,basically an RT video channel,
CNS News,cnsnews.com,right,,unreliable,bias,,The news arm of Media Research Center (a conservative org that is frequently criticized for use of selective evidence) ,
Coast to Coast AM,coasttocoastam.com,pseudoscience,,unreliable,,,,
coed,coed.com,,some fake stories,fake,unreliable,,,"New York, N.Y."
Cold Dead Hands,colddeadhands.us,right,,,,,,
Collective-Evolution,collective-evolution.com,pseudoscience,,junksci,,,,
Collectively Conscious,collectivelyconscious.net,pseudoscience,,junksci,conspiracy,,,
Communities Digital News,commdiginews.com,right_center,,,,,,
Commentary Magazine,commentarymagazine.com,right,,political,,,,
Common Dreams,commondreams.org,left,,political,clickbait,,,
Commonwealth Fund,commonwealthfund.org,left_center,,,,,,
concisepolitics,concisepolitics.com,,,conspiracy,hate,,,
Conflict News,conflict-news.com,least_biased,,,,,,
Congress ,congress.gov,least_biased,,,,,,
Conscious Life News,consciouslifenews.com,pseudoscience,,junksci, ,,,
Conservapedia,conservapedia.com,questionable,,bias, , ,,
Conservation Magazine,conservationmagazine.org,least_biased,,,,,,
Council of Concerned Citizens,conservative-headlines.com,questionable,,,,,,
Conservative 101,conservative101.com,questionable,,,,,,
Conservative Base,conservativebase.com,right,,,,,,
conservativebyte,conservativebyte.com,,,fake,bias,,,
Conservative Daily News,conservativedailynews.com,right,,,,,,
Conservative Daily Post,conservativedailypost.com,questionable,fake news,fake,unreliable,,This website is a weird mix of outright fake news and some stuff that looks more reliable. ,"Panama, Pa. *"
Conservative Fighters,conservativefighters.com,questionable,,fake,,,,
conservativefiringline,conservativefiringline.com,,,bias,conspiracy,clickbait,,
conservativeflashnews,conservativeflashnews.com,,fake news,fake,,,,"Panama, Pa.*"
conservativeinfidel,conservativeinfidel.com,,,fake,conspiracy,,,
Conservative Info Corner,conservativeinfocorner.com,questionable,fake news,,,,,Came up as available for use
Conservative Outfitters,conservativeoutfitters.com,right,,unreliable,clickbait,,,
conservativepapers,conservativepapers.com,,,bias,,,"incorrect uncited data, citing other sources labeled as bias",
Conservative Post,conservativepost.com,questionable,,,,,,
conservativerefocus,conservativerefocus.com,,,conspiracy,,,,
Conservative Review,conservativereview.com,right,,political,,,,
Conservative Spirit,conservativespirit.com,questionable,fake news,bias,fake,,,"Chesterbrook, Pa.^"
conservativestate,conservativestate.com,,,bias,,,"links to other borderline fake, but mostly just propagandistic websites",
Conservative Tribune,conservativetribune.com,questionable,,bias,conspiracy,unreliable,,
Consortium News,consortiumnews.com,least_biased,,reliable,,,The authors on this website are pretty reliable and the articles appear well researched,
Conspiracy Planet,conspiracyplanet.com,pseudoscience,,conspiracy,,,,
conspiracywire,conspiracywire.com,,,conspiracy,,,,
The Constitution,constitution.com,questionable,,,,,,
Constitution Project,constitutionproject.org,least_biased,,,,,,
Consumerist,consumerist.com,least_biased,,,,,,
Contrail Science,contrailscience.com,pro_science,,,,,,
Controversial Times,controversialtimes.com,right,,,,,,
Cook Political Report,cookpolitical.com,least_biased,,,,,,
The Corbett Report,corbettreport.com,pseudoscience,,conspiracy,,,,
Cosmopolitan,cosmopolitan.com,left,,,,,,
Council for the National Interest,councilforthenationalinterest.org,left_center,,,,,,
Countdown to Zerotime,countdowntozerotime.com,pseudoscience,,conspiracy, ,,,
Counter Current News,countercurrentnews.com,pseudoscience,,bias,,,,
countercurrents,countercurrents.org,,,political,unreliable,,This site is pretty explicit about it's p.o.v. and is coming from a political perspective but doesn't fit under how we are defining 'bias',
counterinformation ,counterinformation.wordpress.com,,,political,,,,
counterjihad,counterjihad.com,,,bias,,,,
CounterPsyOps,counterpsyops.com,pseudoscience,,conspiracy,,,,
CounterPunch,counterpunch.org,left,,political,,,explicit POV - legit authors,
The Courier-Journal,courier-journal.com,left_center,,,,,,
The Courier-Mail,couriermail.com.au,right_center,,,,,,
cowgernation,cowgernation.com,,,bias,conspiracy,,,
Committee to Protect Journalists,cpj.org,least_biased,,,,,,
Cracked,cracked.com,satire,,,,,,
Cream BMP,creambmp.com,satire,,satire,fake,,,
Credo Action,credoaction.com,left_center,,,,,,
Committee for a Responsible Federal Budget,crfb.org,least_biased,,,,,,
Crime Prevention Research Center,crimeresearch.org,right,,,,,,
CrimethInc,crimethinc.com,left,,,,,,
International Crisis Group,crisisgroup.org,left_center,,,,,,
Crooks and Liars,crooksandliars.com,left,,,,,,
Crosscut ,crosscut.com,left_center,,,,,,
cryptogon,cryptogon.com,,,conspiracy,unreliable,,copy-pasted commentary from various news & 'news' sources,
crystalair,crystalair.com,,,satire,,,redirects to   cap-news.com ,
CSC Mediagroup USA,cscmediagroupus.com,right,,,,,,
CS Globe,csglobe.com,pseudoscience,,,,,,
Committee for Skeptical Inquiry,csicop.org,pro_science,,,,,,
Skeptical Inquirer,csicop.org si,pro_science,,,,,,
Center For Strategic and International Studies,csis.org,least_biased,,,,,,
Christian Science Monitor,csmonitor.com,least_biased,,,,,,
Citizens for Tax Justice,ctj.org,left_center,,,,,,
CTV News,ctvnews.ca,left_center,,,,,,
Current Affairs Magazine,currentaffairs.org,left,,,,,,
Daily Buzz Live,dailybuzzlive.com,questionable,,fake,,,,
Daily Caller,dailycaller.com,right,,political,clickbait,bias,a weird mix of info. they link to extremely biased sites (as sources) and more reliable balanced sources,
The Daily Climate,dailyclimate.org,left_center,,,,,,
Daily Currant,dailycurrant.com,satire,,satire,,,,
The Daily Discord,dailydiscord.com,satire,,satire,,,,
Daily Dot,dailydot.com,left,,,,,,
Daily Headlines,dailyheadlines.net,questionable,,fake, ,,,
Daily Infobox,dailyinfobox.com,questionable,fake news,fake,,,,"Panama, Pa.*"
dailyken,dailyken.com,,,hate,,,,
Daily Kos,dailykos.com,left,,political,clickbait, ,,
dailyleak,dailyleak.org,,,satire,fake,,,
Daily Mail,dailymail.co.uk ushome index.html,right,,,,,,
Los Angeles Daily News,dailynews.com,right_center,,,,,,
dailynews10,dailynews10.com,,imposter site,fake,,,,"Scottsdale, Ariz. **"
dailynews5,dailynews5.com,,imposter site,fake,,,,"Scottsdale, Ariz. **"
Daily News Bin,dailynewsbin.com,left,,bias,clickbait,,,
dailynewsposts,dailynewsposts.info,,fake news,fake,,,,"Chesterbrook, Pa ^"
Daily Occupation,dailyoccupation.com,pseudoscience,,conspiracy,bias,,,
dailypoliticsusa,dailypoliticsusa.com,,,bias,,,,
Daily Press,dailypress.com,right_center,,,,,,
Daily Record,dailyrecord.com,least_biased,,,,,,
Daily Sabah,dailysabah.com,right,,,,,,
Daily Signal,dailysignal.com,right,,bias,,,,
dailysnark,dailysnark.com,,parody site,satire,,,,"Scottsdale, Ariz. **"
Daily Squib,dailysquib.co.uk,satire,,satire,,,,
Daily Star UK,dailystar.co.uk,pseudoscience,,,,,,
Daily Stormer,dailystormer.com,questionable,,hate,conspiracy,bias,pretty well known neo-nazi site,
Daily Surge,dailysurge.com,right,fake news,fake,,,,"Alexandria, Va."
The Daily Tarheel,dailytarheel.com,left_center,,,,,,
Daily Telegraph,dailytelegraph.com.au,right_center,,bias,rumor,,australian tabloid mag,
The Daily Telegraph (Australia),dailytelegraph.com.au,right,,,,,,
dailyusaupdate,dailyusaupdate.com,,fake news,fake,,,,"Scottsdale, Ariz. **"
The Daily Wire,dailywire.com,right,,bias,,,,
Dallas Morning News,dallasnews.com,right_center,,,,,,
Dallas Voice,dallasvoice.com,left,,,,,,
damnleaks,damnleaks.com,,fake news,fake,,,,"Colorado Springs, Colo. "
The Dandy Goat,dandygoat.com,satire,,satire,,,,
Danger and Play,dangerandplay.com,questionable,,,,,,
darkmoon,darkmoon.me,,,hate,bias,,,
darkpolitricks,darkpolitricks.com,,,bias,conspiracy,,,
Data Asylum,dataasylum.com,pseudoscience,,conspiracy,junksci,,,
davejanda,davejanda.com,,,unreliable,,,,
davidduke,davidduke.com,,,hate,,,,
David Icke,davidicke.com,pseudoscience,,,,,,
davidstockmanscontracorner,davidstockmanscontracorner.com,,,political,,,,
David Wolfe,davidwolfe.com,pseudoscience,,conspiracy,,,,
dcclothesline,dcclothesline.com,,,conspiracy,junksci,,,
The D.C. Clothesline,dcclothesline.com,questionable,,,,,,
DC Gazette,dcgazette.com,questionable,,fake,,,,
dcleaks,dcleaks.com,,,unreliable,,,,
DCReport ,dcreport.org,left_center,,,,,,
DC Statesman,dcstatesman.com,right,,,,,,
Deadline Hollywood,deadline.com,left_center,,,,,,
deadlinelive,deadlinelive.info,,,political,conspiracy,,,
deadlyclear ,deadlyclear.wordpress.com,,,bias,fake news,,"Not a personal website, owned by Project Maui, Inc. Makes unverifiable extraordinary claims, seems to be advertising for lawyers with a history of legal reprimands.",
Dead State,deadstate.org,left,,,,,,
DeathandTaxes,deathandtaxes.com,left,,,,,,
Debate Post,debatepost.com,right,,,,,,
debunkingskeptics,debunkingskeptics.com,,,bias,conspiracy,,Science doesn't mean what they think it means,
SCEPCOP (Debunking Skeptics),debunkingskeptics.com,pseudoscience,,,,,,
defenddemocracy.press,defenddemocracy.press,,,bias,political,,"editorial board as stated on about us seem to be legitimate academics, and originally authored content byline are academics, although not able to find a clear link between edu pages and these authors' work on this website. Many 3rd party articles are linked, sources provided. These articles are aggregated from other more clearly biased sites i.e. world socialist web site (wswg.org), rt.com, sputniknews.com.",
Defense One,defenseone.com,least_biased,,,,,,
Democracy Now,democracynow.org,left,,,,,,
Democrat and Chronicle,democratandchronicle.com,left_center,,,,,,
The Democratic Hub,democratichub.com,left,,,,,,
democraticmoms,democraticmoms.com,,fake news,,,,,"Panama, Pa. *"
Democratic Review,democraticreview.com,questionable,,,,,,
dennismichaellynch,dennismichaellynch.com,,,political,,,,
Denver Guardian,denverguardian.com,questionable,,fake,,,,
denverinquirer,denverinquirer.com,,imposter site,,,,,"Toronto, Canada !!!"
Denver Post,denverpost.com,left_center,,,,,,
departed,departed.co,,,fake,,,redirects to dcposts.com ,
departedmedia,departedmedia.com,,fake news,fake,,,,"Chesterbrook, Pa.^"
der-postillon,der-postillon.com,,,satire,,,German language site,
Derf Magazine,derfmagazine.com,satire,,satire,,,,
Deseret News,deseretnews.com,right_center,,,,,,
Desert Sun,desertsun.com,right_center,,,,,,
Detroit News,detroitnews.com,right_center,,,,,,
Die Hard Democrat,dieharddemocrat.com,left,,,,,,
Digg,digg.com,left_center,,,,,,
dineal,dineal.com,,,junksci,,,,
Disclose TV,disclose.tv,pseudoscience,fake news,satire,conspiracy,,,"Passau, Germany"
disclosuremedia,disclosuremedia.net,,,conspiracy,,,,
Discover Magazine,discovermagazine.com,pro_science,,,,,,
Discover the Networks,discoverthenetworks.org,questionable,,,,,,
Discovery Institute,discovery.org,pseudoscience,,,,,,
Disobedient Media,disobedientmedia.com,right,,,,,,
Columbus Dispatch,dispatch.com,right_center,,,,,,
Dissent Magazine,dissentmagazine.org,left,,political,,,,
diversitychronicle ,diversitychronicle.wordpress.com,,,satire,,,self-labled:  diversitychronicle.wordpress.com disclaimer  ,
diyhours,diyhours.net,,fake news,fake,,,,"Panama, Pa.*"
dollarvigilante,dollarvigilante.com,,,bias,,,anarcho-capitalist blog,
Donald Trump News,donaldtrumpnews.co,questionable,,fake,,,,
donaldtrumppotus45,donaldtrumppotus45.com,,fake news,fake,,,,"Free Union, Va."
dont-tread-on,dont-tread-on.me,,,conspiracy,,,doesn't seem to be updating anymore,
Doubtful News,doubtfulnews.com,pro_science,,,,,,
Downtrend,downtrend.com,questionable,,fake,satire,,,
Draining the Swamp,drainingtheswamp.info,questionable,,,,,,
drrichswier,drrichswier.com,,,hate,bias,,,
Drudge Retort,drudgereport.com.co,left,,fake,,,,
Duffel Blog,duffleblog.com,satire,,satire,,,,
Duh Progressives,duhprogressive.com,satire,,satire,,,,
Dutch Daily News,dutchdailynews.com,left_center,,,,,,
dutchsinse,dutchsinse.com,,,conspiracy,,,weather control,
Eagle Rising,eaglerising.com,questionable,,bias,clickbait,,,
Eagle Tribune,eagletribune.com,least_biased,,,,,,
Earth Institute,earth.columbia.edu sections view 9,least_biased,,,,,,
Earth First! Journal,earthfirstjournal.org,left,,,,,,
Earth Magazine,earthmagazine.org,pro_science,,,,,,
East Bay Times,eastbaytimes.com,left_center,,,,,,
Bay Area Reporter,ebar.com,left,,,,,,
ebolahoax,ebolahoax.com,,,conspiracy,,,domain for sale,
economicnoise,economicnoise.com,,,political,unreliable,,"sites some problematic sources, like CNS news",
The Economic Times,economictimes.indiatimes.com,left_center,,,,,,
The Economist,economist.com,least_biased,,,,,,
Economy in Crisis,economyincrisis.org,left,,,,,,
EcoWatch,ecowatch.com,pseudoscience,,political,,,"this site claims junksci, but I read over a dozen articles w o finding any. probably should re-check soon  mediabiasfactcheck.com ecowatch ",
Edmonton Journal,edmontonjournal.com,left_center,,,,,,
Edmonton Sun,edmontonsun.com,right_center,,,,,,
Educate-Yourself,educate-yourself.org,pseudoscience,,conspiracy,junksci,,,
educateinspirechange  health,educateinspirechange.org health,,,clickbait,junksci,,,
electionnightgatekeepers,electionnightgatekeepers.com,,,conspiracy,unreliable,,,
Electronic Intifada,electronicintifada.net,left,,,,,,
elelephantintheroom spot,elelephantintheroom.blogspot.com,,,bias,,,,
Elisabeth Parker,elisabethparker.com,left,,,,,,
Elite Daily,elitedaily.com,left,,,,,,
elitereaders,elitereaders.com,,,clickbait,,,,
elkoshary,elkoshary.com,,,satire,,,About Me notes that it's not fake satirical news,
elmundotoday,elmundotoday.com,,,satire,,,About Me notes that it's not fake satirical news,
El Pais,elpais.com elpais inenglish.html,left_center,,,,,,
El Paso Times,elpasotimes.com,left_center,,,,,,
Embols,embols.com,questionable,,fake,,,,
Emirates 24 7,emirates247.com,left_center,,,,,,
Empire Herald,empireherald.com,questionable,imposter site,fake,satire,,,"Scottsdale, Ariz. **"
Empire News,empirenews.net,satire,parody site,fake,,,,"Chesterbrook, Pa ^"
empiresports,empiresports.co,,parody site,satire,,,,"Sellersburg, IN"
Empty Wheel,emptywheel.net,left_center,,political,,,commentary on current events news,
En Volve,en-volve.com,questionable,fake news,fake,,,,"Chesterbrook, Pa. ^"
Bbarta24,en.bbarta24.net,least_biased,,,,,,
MercoPress,en.mercopress.com,least_biased,,,,,,
Metapedia,en.metapedia.org wiki Main_Page,questionable,,,,,,
Vatican Radio,en.radiovaticana.va,questionable,,,,,,
enabon,enabon.com,,,fake,,,"No authors, no contact, just copy pasted from other questionable sites",
Encyclopedia Dramatica,encyclopediadramatica.se Main_Page,satire,,,,,,
Ending the Fed News,endingthefed.com,questionable,,bias, ,,,
endoftheamericandream,endoftheamericandream.com,,,Conspiracy,Fake,Political,Traffics in religious conspiracy theories and poorly sourced pro-Trump propaganda,
endtime,endtime.com,,,bias,clickbait,Political,"Not sure about this one. zany religious prophecy not really conspiracy | I would classify this as ""religious clickbait,"" with all of its reporting coming through a fundamentalist Christian filter-- thus the ""extreme bias.""",
End Time Headlines,endtimeheadlines.org,pseudoscience,,,,,,
Enduring Vision,enduringvision.com,satire,,fake,,,,
Al Majalla,eng.majalla.com,least_biased,,,,,,
Engadget,engadget.com,left_center,,,,,,
Asharq Al-Awsat,english.aawsat.com,least_biased,,,,,,
Ahram Online,english.ahram.org.eg,least_biased,,,,,,
Al Arabiya,english.alarabiya.net,least_biased,,,,,,
enhlive,enhlive.com,,fake news,fake,,,,"Brea, Calif. !!"
Esquire Magazine,esquire.com,left,,,,,,
EU Observer,euobserver.com,left_center,,,,,,
Euractiv,euractiv.com,left_center,,,,,,
Eurasia Group,eurasiagroup.net,least_biased,,,,,,
Euronews,euronews.com,least_biased,,,,,,
eutimes,eutimes.net,,,hate,conspiracy,,,
The European Union Times,eutimes.net,pseudoscience,,,,,,
eutopia.buzz,eutopia.buzz,,,fake,satire,conspiracy,,
Evening Harold,eveningharold.com,satire,,,,,,
Every CRS Report,everycrsreport.com,least_biased,,,,,,
Everyday Feminism,everydayfeminism.com,left,,,,,,
Every News Here,everynewshere.com,pseudoscience,,,,,,
Evolution News and Views,evolutionnews.org,pseudoscience,,,,,,
Evonomics,evonomics.com,left,,,,,,
ewao,ewao.com,,,junksci,,,,
Environmental Working Group (EWG),ewg.org,pseudoscience,,,,,,
experimentalvaccines,experimentalvaccines.org,,,junksci,conspiracy,,,
expose1933,expose1933.com,,,conspiracy,hate,,"references to ""white genocide"" and ""race mixing""",
Daily Express,express.co.uk,right,,,,,,
express,express.co.uk,,,rumor,,,well-known tabloid,
extraclubmagazine,extraclubmagazine.com,,,bias,clickbait,fake,vacillates between outright fake and misleading stories,
eyeopening,eyeopening.info,,,conspiracy,junksci,,,
SciCheck,factcheck.org scicheck,pro_science,,,,,,
FactsCan,factscan.ca,least_biased,,,,,,
Fairness & Accuracy in Reporting (FAIR),fair.org,left_center,,,,,,
The Federation for American Immigration Reform,fairus.org,questionable,,,,,,
FairVote,fairvote.org,left_center,,,,,,
The Fake News Codex,fakenewscodex.com,least_biased,,,,,,
fakingnews,fakingnews.com,,,fake,satire,,fiction disclaimer on bottom of home screen ,
Family Security Matters,familysecuritymatters.org,right,,conspiracy,bias,,,
Family Survival Headlines,familysurvivalheadlines.com,pseudoscience,,,,,,
farmwars,farmwars.info,,,fake news,conspiracy,,"Much of the site is focused on anti-GMO conspiracies, with political conspiracies coming in as a close second. There are some apparent attempts to source some wild claims, but the use of unstable URLs-- intentionally or otherwise-- thwarts this.",
Federation of American Scientists (FAS),fas.org,pro_science,,,,,,
Federalist Press,federalistpress.com,right,,bias,,,,
Federalist Tribune,federalisttribune.com,questionable,fake news,,,,,"Brea, Calif. !!"
fedsalert,fedsalert.com,,fake news,fake,,,,"Scottsdale, Ariz. **"
Foundation for Economic Education,fee.org,right_center,,,,,,
fellowshipoftheminds,fellowshipoftheminds.com,,,conspiracy,junksci,,,
Feminist Frequency,feministfrequency.com,left_center,,,,,,
Fifth Estate,fifthestate.org,left,,,,,,
Filming Cops,filmingcops.com,left,,,,,,
filmsforaction,filmsforaction.org,,,political,,,,
Financial Express,financialexpress.com,least_biased,,,,,,
Financial Post,financialpost.com,right_center,,,,,,
financialsurvivalnetwork,financialsurvivalnetwork.com,,,unreliable,bias,,,
firearmscoalition,firearmscoalition.org,,,bias,blog,,"A single-issue blog, it hasn't been updated since August 2016. It talks about guns, has lots of dead links, and has trouble distinguishing between legitimate and illegitimate sources.",
firstpost,firstpost.com,,some fake stories,,,,,"Mumbai, India"
FiveThirtyEight,fivethirtyeight.com,left_center,,,,,,
flashnewscorner,flashnewscorner.com,,fake news,fake,,,,"Panama, Pa.*"
floridasunpost,floridasunpost.com,,parody site,fake,satirical,,I concur:  mashable.com 2016 10 03 fake-news-story-man-marries-granddaughter #QvpAzP.e8Oqb ,"Toronto, Canada !!!"
FM Observer,fmobserver.com,satire,,satire,,,,
focusnews,focusnews.info,,fake news,,,,,"Scottsdale, Ariz. **"
Focus on the Family,focusonthefamily.com,questionable,,,,,,
fognews.ru,fognews.ru,,,satire,,,site contains satire disclaimer,
Food Babe,foodbabe.com,pseudoscience,,junksci,,,,
Forbes,forbes.com,right_center,,,,,,
Foreign Affairs,foreignaffairs.com,least_biased,,,,,,
Foreign Policy,foreignpolicy.com,least_biased,,,,,,
Foreign Policy Initiative,foreignpolicyi.org,right_center,,,,,,
foreignpolicyjournal,foreignpolicyjournal.com,,,political,,,legit source coming from a political perspective,
Fortune Magazine,fortune.com,right_center,,,,,,
The Forward,forward.com,left_center,,,,,,
Forward Progressives,forwardprogressives.com,left,,,,,,
fourwinds10,fourwinds10.net,,,conspiracy,junksci,,,
fox-news24,fox-news24.com,,imposter site,,,,,"Scottsdale, Ariz. **"
Fox News,foxnews.com,right,,,,,,
Foreign Policy Research Institute,fpri.org,right_center,,,,,,
fprnradio,fprnradio.com,,,conspiracy,fake,,,
France24,france24.com en,left_center,,,,,,
Franklin Center for Government and Public Integrity,franklincenterhq.org,right_center,,,,,,
Family Research Council,frc.org,questionable,,,,,,
Freakonomics,freakonomics.com,left_center,,,,,,
Freakout Nation,freakoutnation.com,questionable,,bias,,,,
freebeacon,freebeacon.com,,,bias,,,,
Washington Free Beacon,freebeacon.com,right,,,,,,
freedomcrossroads ,freedomcrossroads.us,,fake news,,,,,"North Waterboro, Me."
Freedom Daily,freedomdaily.com,questionable,fake news,fake,,,,"Scottsdale, Ariz. **"
freedomforceinternational,freedomforceinternational.com,,,conspiracy,,,global warming denial,
Freedom House,freedomhouse.org,right_center,,,,,,
Freedom Liberty News,freedomlibertynews.com,questionable,,,,,,
Freedom Outpost,freedomoutpost.com,questionable,,conspiracy,bias, ,,
Freedom’s Final Stand,freedomsfinalstand.com,questionable,fake news,,,,,"Scottsdale, Ariz. **"
freedomsphoenix,freedomsphoenix.com,,,bias,conspiracy,,,
Freedom Works,freedomworks.org,right,,political,,,,
freedomworldnews,freedomworldnews.com,,,bias,unreliable,,,
International Press Institute,freemedia.at,least_biased,,,,,,
Detroit Free Press,freep.com,left_center,,,,,,
Free Press,freepress.net,left_center,,,,,,
Free West Media,freewestmedia.com,least_biased,,,,,,
Free Wood Post,freewoodpost.com,satire,parody site,satire,,,,"Scottsdale, Ariz. **"
freshdailyreport,freshdailyreport.com,,fake news,fake,,,,"Veles, Macedonia"
Fresno Bee,fresnobee.com,left_center,,,,,,
fridaymash,fridaymash.com,,,satire,,,,
Friends of Science,friendsofscience.org,pseudoscience,,,,,,
From the Trenches World Report,fromthetrenchesworldreport.com,pseudoscience,,conspiracy,junksci,bias,,
Move On,front.moveon.org,left,,,,,,
frontpagemag,frontpagemag.com,,,bias,hate,,Part of David Horowitz' Freedom Center,
Frontpage Magazine,frontpagemag.com,questionable,,,,,,
Financial Times,ft.com,least_biased,,,,,,
Full Fact (UK),fullfact.org,least_biased,,,,,,
Fury News,fury.news,questionable,,,,,,
Fusion,fusion.net,left_center,,political,reliable,,website contains some satire ,
Future in America,futureinamerica.com news,right,,,,,,
Government Accountability Institute,g-a-i.org,right,,,,,,
gaia,gaia.com,,,conspiracy,junksci,,,
galacticconnection,galacticconnection.com,,,junksci,,,,
Gallup,gallup.com home.aspx,least_biased,,,,,,
gangstergovernment,gangstergovernment.com,,,conspiracy,bias,,,
gatesofvienna,gatesofvienna.net,,,hate,conspiracy,,,
Gatestone Institute,gatestoneinstitute.org,right,,,,,,
Gawken,gawken.com,satire,,,,,,
Colorado Springs Gazette,gazette.com,right_center,,,,,,
GeoEngineering Watch,geoengineeringwatch.org,pseudoscience,,junksci,conspiracy,,,
Geology In,geologyin.com,pro_science,,,,,,
Covert Geopolitics,geopolitics.co,pseudoscience,,,,,,
geopolmonitor,geopolmonitor.com,,,political,,,this website is tricky (in terms of writers using some interesting frames language). def could use a second analysis.,
givemeliberty01,givemeliberty01.com,,fake news,fake,,,,"Scottsdale, Ariz. **"
